species_code,FIA_code,si_min,si_max,CurtisArney_b0,CurtisArney_b1,CurtisArney_b2,Dbw,Wykoff_b0,Wykoff_b1,Bark_b0,Bark_b1,small_tree_b0,small_tree_b1,small_tree_b2,small_tree_b3,small_tree_b4,ln_dds_b0,ln_dds_b1,ln_dds_b2,ln_dds_b3,ln_dds_b4,ln_dds_b5
WO,802,25,115,170.1330787,3.27815866,-0.48744214,0.2,4.5463,-5.2287,-0.24096,0.93789,1.2866,0.9962,-0.0355,1.4485,-0.0316,-1.608339,1.468589,-0.000778,0.139456,0.358369,0.004530
SO,802,25,115,196.0564703,3.0067167,-0.38499624,0.2,4.5225,-4.9401,-0.40860,0.94613,1.2866,0.9962,-0.0355,1.4485,-0.0316,-2.284302,1.569893,-0.000632,0.272422,0.206868,0.005065
SK,802,25,115,150.4300023,3.13270999,-0.49925872,0.1,4.5142,-5.2205,-0.42141,0.93008,1.2866,0.9962,-0.0355,1.4485,-0.0316,-0.783581,1.432483,-0.000412,0.044460,0.241383,0.003012
CB,813,30,125,182.6306309,3.12897883,-0.46391125,0.1,4.7342,-6.2674,-0.21801,0.93540,1.0945,0.9938,-0.0755,2.5601,0.0114,-0.295485,1.239946,-0.000163,0.020622,0.431515,0.003830
TO,68,25,65,2137.575644,5.80907868,-0.15590506,0.2,3.9365,-4.4599,-0.61021,0.95803,0.9276,1.0591,-0.0424,0.3529,0.3114,-2.697130,1.622081,-0.001703,0.354924,-0.033854,0.000682
LK,68,25,65,208.2300233,3.13834277,-0.37158262,0.1,4.4375,-4.6654,-0.04612,0.93127,0.9276,1.0591,-0.0424,0.3529,0.3114,-1.561284,1.335456,-0.000412,0.246163,0.381808,0.004714
OV,828,35,95,184.0856396,3.49535241,-0.46211544,0.2,4.5710,-6.0922,-0.37973,0.94380,1.3295,0.9565,-0.0668,16.0085,-0.4157,-0.947174,1.376350,-0.000482,0.099697,0.427943,0.001280
BJ,68,25,65,157.4828626,3.38919504,-0.39151499,0.2,3.9191,-4.3503,-0.61021,0.95803,0.9276,1.0591,-0.0424,0.3529,0.3114,-1.948938,1.611438,-0.000844,0.135696,0.056739,0.002740
SN,827,35,95,281.3413276,3.51695826,-0.3336282,0.2,4.6135,-5.7613,-0.49699,0.94832,1.3466,0.959,-0.0574,8.9538,-0.3454,-1.321662,1.640507,-0.000285,0.038193,0.086499,0.005844
CK,802,35,75,72.7907469,3.67065539,-1.09878979,0.1,4.3420,-5.1193,0.34225,0.93494,1.2866,0.9962,-0.0355,1.4485,-0.0316,-2.223515,0.937359,0.000212,0.286311,0.733279,0.008621
WK,827,30,115,470.0617193,3.78892643,-0.25123824,0.1,4.5577,-4.9595,-0.30330,0.95826,1.3466,0.959,-0.0574,8.9538,-0.3454,-0.845477,1.488444,-0.000286,0.053292,0.130856,0.005330
CO,802,25,115,94.54465221,3.42034111,-0.818759,0.2,4.4618,-4.8786,-0.43197,0.92120,1.2866,0.9962,-0.0355,1.4485,-0.0316,-2.900655,1.347350,-0.000533,0.300133,0.597032,0.008415
RO,802,25,115,700.0636452,4.10607389,-0.21392785,0.2,4.5202,-4.8896,-0.52266,0.95215,1.2866,0.9962,-0.0355,1.4485,-0.0316,-2.732646,1.499450,-0.000729,0.344764,0.466082,0.004632
QS,813,15,125,215.0009406,3.14204012,-0.39067352,0.1,4.6106,-5.4380,-0.61021,0.95803,1.0945,0.9938,-0.0755,2.5601,0.0114,-0.328678,1.282494,-0.000351,0.071625,0.455600,-0.001173
PO,68,25,85,765.2907525,4.22375114,-0.18974706,0.1,4.2496,-4.8061,-0.26493,0.91899,0.9276,1.0591,-0.0424,0.3529,0.3114,-1.430321,1.293728,-0.000452,0.047937,0.514612,0.005466
BO,802,25,115,224.716279,3.11648501,-0.35982064,0.2,4.4747,-4.8698,-0.70754,0.94821,1.2866,0.9962,-0.0355,1.4485,-0.0316,-2.345845,1.450330,-0.000674,0.251441,0.527504,0.005921
LO,827,30,65,153.9588254,3.11348786,-0.38947124,0.2,4.2959,-5.3332,-0.70754,0.94821,1.3466,0.959,-0.0574,8.9538,-0.3454,-3.640660,1.448503,-0.000210,0.549199,0.073672,0.009377
BK,901,25,95,880.2844971,4.59642097,-0.21824277,0.1,4.4299,-4.9920,-0.37166,0.89193,0.968,1.0301,-0.0468,0.1639,0.4127,-1.307911,0.963269,0.0000001,0.268621,0.396699,0.003713
