species_code,FIA_code,ln_dds_b6,ln_dds_b7,ln_dds_b2=8,ln_dds_b9,ln_dds_b10,base_fortype,ftlohd,ftnohd,ftokpn,ftsfhp,ftuphd,ftupok,ftylpn
PC,611,-0.000191,-0.000600,2.356739,-8.639114,5.615465,FTLOHD,0.000000,0.000000,-0.196837,0.000000,0.000000,0.000000,-0.241760
HM,261,-0.000824,-0.002503,-0.241407,0.066508,0.086959,FTUPOK,0.000000,-0.023264,0.294886,-0.271743,-0.004304,0.000000,0.039012
FM,317,-0.003268,-0.001923,-0.339807,-0.204878,-0.147110,FTLOHD,0.000000,-0.581137,-0.049388,0.000000,-0.021913,-0.323458,0.304165
BE,316,-0.001242,-0.000826,-0.613177,0.315909,-0.237088,FTLOHD,0.000000,0.197314,-0.002307,-0.361488,0.213336,-0.003385,-0.252234
RM,316,-0.002133,-0.001383,-0.097604,-0.069753,0.094162,FTLOHD,0.000000,-0.008575,-0.091712,-0.226500,-0.115718,-0.233899,-0.000042
SV,317,-0.002133,-0.001383,-0.097604,-0.069753,0.094162,FTLOHD,0.000000,-0.008575,-0.091712,-0.226500,-0.115718,-0.233899,-0.000042
SM,318,-0.001413,-0.001527,-0.032482,-0.009543,0.005581,FTUPOK,0.177698,0.081088,-0.007830,0.268289,0.018085,0.000000,-0.969059
BU,318,-0.004219,-0.000586,-0.178079,0.187157,-0.108544,FTUPOK,0.276485,0.000000,0.000000,0.000000,-0.158379,-0.066001,0.000000
BB,371,-0.002005,-0.001848,-0.192793,-0.112449,0.113349,FTLOHD,0.000000,-0.901060,-0.211483,-0.112850,-0.150287,-0.229603,-0.122245
SB,371,-0.002005,-0.001848,-0.192793,-0.112449,0.113349,FTLOHD,0.000000,-0.090106,-0.211483,-0.112850,-0.150287,-0.229603,-0.122245
AH,68,-0.003852,-0.000644,-0.224489,0.031993,-0.160702,FTLOHD,0.000000,0.107053,-0.184779,0.000000,-0.144979,-0.125931,-0.023984
HI,400,-0.003339,-0.001029,-0.245761,0.055798,0.080648,FTUPOK,0.307092,0.127121,0.075082,0.163686,0.145813,0.000000,0.091028
CA,543,-0.001041,-0.001349,0.075733,-0.601088,-0.757088,FTLOHD,0.000000,0.000000,-0.122639,0.000000,-0.227215,0.428371,-0.127654
HB,68,-0.001846,-0.001776,-0.179044,0.039673,-0.071628,FTLOHD,0.000000,-0.020917,-0.227013,0.000000,-0.046600,-0.142184,-0.373160
RD,68,-0.001141,-0.002822,-0.391784,0.039121,-0.038350,FTUPHD,-0.131762,-0.159125,0.081533,0.000000,0.000000,-0.091293,0.005318
DW,68,-0.003144,-0.001235,-0.282662,-0.084011,0.104748,FTUPOK,0.193678,0.080191,0.227760,-0.207255,0.123444,0.000000,0.395749
PS,68,-0.001319,-0.002784,-0.327799,-0.200696,-0.145939,FTYLPN,0.140335,0.008246,-0.030083,0.000000,0.064726,-0.063738,0.000000
AB,531,-0.002547,-0.001176,-0.380400,0.160386,-0.088382,FTUPOK,0.139891,0.094979,0.112394,0.191476,0.098473,0.000000,0.301892
AS,544,-0.002027,-0.000779,-0.619659,0.020132,-0.020785,FTLOHD,0.000000,0.065051,-0.006241,0.243386,0.009788,-0.041769,-0.049053
WA,541,-0.000807,-0.001262,0.018297,-0.001091,-0.021565,FTUPOK,0.112081,0.244086,-0.042491,0.000000,0.199271,0.000000,0.256243
BA,543,-0.000001,-0.001450,-0.158064,-0.138225,-0.081197,FTLOHD,0.000000,0.003456,-0.108803,0.000000,-0.018640,-0.085510,-0.279440
GA,544,-0.000001,-0.001450,-0.158064,-0.138225,-0.081197,FTLOHD,0.000000,0.003456,-0.108803,0.000000,-0.018640,-0.085510,-0.279440
HL,901,-0.001181,-0.002489,-0.107755,0.958763,0.823135,FTLOHD,0.000000,0.000000,-0.228299,0.000000,-0.170453,-0.178680,-0.343244
LB,43,-0.000311,-0.002192,-3.469125,-10.149549,1.404412,FTLOHD,0.000000,0.000000,-0.063217,0.000000,-0.297261,0.000000,0.065035
HA,68,-0.000000,-0.000770,0.335703,-0.657751,0.585839,FTUPOK,0.000000,-0.063207,0.000000,0.000000,-0.111645,0.000000,0.000000
HY,531,-0.003096,-0.000394,-0.303627,0.210525,-0.159362,FTLOHD,0.000000,-0.003095,-0.007689,0.000000,-0.082245,-0.187742,-0.008297
BN,602,-0.000564,-0.000588,0.133415,-0.209729,0.014948,FTUPHD,0.163749,-0.176854,-0.164651,-0.557302,0.000000,-0.156488,-0.232630
WN,602,-0.000564,-0.000588,0.133415,-0.209729,0.014948,FTUPHD,0.163749,-0.176854,-0.164651,-0.557302,0.000000,-0.156488,-0.232630
SU,611,-0.002978,-0.001940,-0.502977,0.141477,0.003549,FTLOHD,0.000000,0.057604,-0.090836,0.491153,-0.155894,-0.168272,0.058458
YP,621,-0.001839,-0.002217,-0.321777,-0.001645,0.064815,FTUPHD,0.083904,0.057388,-0.055234,-0.499954,0.000000,-0.090655,0.053935
MG,694,-0.001259,-0.001111,-0.025555,0.149606,0.032438,FTLOHD,0.000000,-0.326815,-0.017682,0.000000,-0.029526,-0.096994,-0.031043
CT,802,0.000680,-0.001643,-0.308453,-0.071496,0.265688,FTUPOK,0.000000,0.049636,-0.353219,0.000000,0.008351,0.000000,-0.627226
